"psu_id","psu_type","bg_oper_id","TotHH","age18plus","age18_34","age35_49","age50_64","age65plus","MOS_psu","pik_psu","MOS_bg_oper","pik_bg","p3_18_34","p3_35_49","p3_50_64","p3_65plus","p_overall_18_34","p_overall_35_49","p_overall_50_64","p_overall_65plus","w_base_18_34","w_base_35_49","w_base_50_64","w_base_65plus","hh_rate","exp_n_18_34","exp_n_35_49","exp_n_50_64","exp_n_65plus","exp_n_total","takeall_18_34","takeall_35_49","takeall_50_64","takeall_65plus"
"26163500200","single_tract","261635002001",312,608,211,160,149,88,9.41254903956381,0.174629852311017,2.7391762938915,0.291013229506472,0.08719678441302,0.0965883701348816,0.0835496579187992,0.0863459117883027,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.17275641025641,18.3985215111472,15.4541392215811,12.4488990299011,7.59844023737063,53.9,FALSE,FALSE,FALSE,FALSE
"26163500900","single_tract","261635009001",661,1154,427,289,302,136,11.5926262589339,0.21507655396909,5.18980433215154,0.447681501691817,0.0460224219414248,0.0509792964833034,0.0440974702872934,0.0455733317689287,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0815431164901664,19.6515741689884,14.7330166836747,13.3174360267626,6.1979731205743,53.9,FALSE,FALSE,FALSE,FALSE
"26163501400","single_tract","261635014002",412,709,238,185,189,97,12.0793186425968,0.224106097265246,3.19086707232132,0.264159524782215,0.074853436183399,0.0829155736489557,0.0717225873553637,0.0741230108570153,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.130825242718447,17.815117811649,15.3393811250568,13.5555690101637,7.18993205313049,53.9,FALSE,FALSE,FALSE,FALSE
"26163501900","single_tract","261635019002",610,973,326,264,251,132,7.75760409410798,0.143925864454694,4.38543171169466,0.565307491655248,0.0544638203191665,0.0603298811000861,0.0521857954653869,0.0539323583614915,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.0883606557377049,17.7552054240483,15.9270886104227,13.0986346618121,7.11907130371688,53.9,FALSE,FALSE,FALSE,FALSE
"26163505100","single_tract","261635051003",518,1018,310,220,290,198,10.0833676662245,0.187075466905835,4.55375790644025,0.451610816661345,0.0524506066582761,0.0580998329676042,0.0502567872592113,0.0519387897873241,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.104054054054054,16.2596880640656,12.7819632528729,14.5744683051713,10.2838803778902,53.9,FALSE,FALSE,FALSE,FALSE
"26163506900","single_tract","261635069003",418,674,213,177,145,139,11.4779164460506,0.212948357069584,3.03829224789257,0.264707646389778,0.078612373425691,0.0870793696434566,0.0753243018319452,0.0778452681136974,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.128947368421053,16.7444355396722,15.4130484268918,10.9220237656321,10.8204922678039,53.9,FALSE,FALSE,FALSE,FALSE
"26163508000","single_tract","LBG_261635080001_261635080002",629,835,270,210,270,85,3.74664938306996,0.0695111202795911,3.74664938306996,1,0.0637495907268494,0.0706157813791208,0.0610831756416973,0.0631275175397295,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.085691573926868,17.2123894962493,14.8293140896154,16.4924574232583,5.36583899087701,53.9,FALSE,FALSE,FALSE,FALSE
"26163511400","single_tract","261635114002",625,843,247,154,230,212,7.48178765911162,0.138808676421366,3.75729454944301,0.502192085719945,0.0635689753956394,0.0704157127575496,0.0609101147973202,0.0629486646661831,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.08624,15.7015369227229,10.8440197646626,14.0093264033836,13.3451169092308,53.9,FALSE,FALSE,FALSE,FALSE
"26163513900","single_tract","261635139001",453,612,169,116,182,145,5.20622591264081,0.0965904622011281,2.72732020645215,0.523857445338699,0.0875758424708109,0.0970082548844739,0.0839128613473772,0.0867212709697333,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.118984547461369,14.800317377567,11.252957566599,15.2721407652227,12.5745842906113,53.9,FALSE,FALSE,FALSE,FALSE
"26163515700","single_tract","261635157001",1429,1663,551,278,358,476,19.562278439565,0.362936520214563,7.41500748372954,0.379046209092525,0.0322113450717084,0.0356806887005343,0.0308640608706184,0.0318970244013839,0.00443130546878874,0.00490858207308137,0.00424595996908941,0.00438806446465613,225.667132867133,203.724820143885,235.518,227.890909090909,0.0377186843946816,17.7484511345113,9.91923145874853,11.0493337916814,15.1829836150587,53.9,FALSE,FALSE,FALSE,FALSE
"26163516700","single_tract","261635167001",629,820,204,107,214,295,11.6168667664392,0.215526285091637,3.6323190479113,0.312676311172386,0.0657561633813686,0.0728384732313709,0.0630058206108077,0.0651145099109535,0.00443130546878873,0.00490858207308137,0.00424595996908941,0.00438806446465614,225.667132867133,203.724820143885,235.518,227.890909090909,0.085691573926868,13.4142573297992,7.79371663575668,13.4832456107128,19.2087804237313,53.9,FALSE,FALSE,FALSE,FALSE
