"psu_id","bg_oper_id","n_bg_combined","TotHH","age18plus","age18_34","age35_49","age50_64","age65plus","MOS_bg_oper","pik_bg","selected_bg"
"26163538600","261635386001",1,515,963,250,248,273,192,4.32681017009675,0.266678392209378,TRUE
"26163538600","261635386002",1,414,823,269,175,189,190,3.68724171633597,0.227259263509089,FALSE
"26163538600","261635386003",1,457,882,248,187,251,196,3.94266519123987,0.243002020630874,FALSE
"26163538600","261635386004",1,572,951,330,218,230,173,4.2681076419081,0.263060323650658,FALSE
"26163539500","261635395001",1,299,519,145,141,120,113,2.34001584607571,0.219715058974162,FALSE
"26163539500","261635395002",1,606,1079,259,240,308,272,4.82707701882182,0.453236893092793,FALSE
"26163539500","261635395003",1,450,781,115,135,135,396,3.48313683260759,0.327048047933045,TRUE
"26163540400","261635404001",1,610,1064,330,243,257,234,4.77313504524457,0.525856435331353,TRUE
"26163540400","261635404002",1,642,962,258,215,286,203,4.30374359414476,0.474143564668647,FALSE
"26163540900","261635409001",1,452,743,212,164,186,181,3.32843244172195,0.281082459547729,FALSE
"26163540900","261635409002",1,609,1158,343,256,265,294,5.19180513092097,0.438442234067641,FALSE
"26163540900","261635409003",1,378,740,174,180,191,195,3.32124284942791,0.28047530638463,TRUE
"26163541500","261635415001",1,814,1352,373,289,378,312,6.04550614026723,0.466448882012054,FALSE
"26163541500","261635415002",1,980,1545,422,332,390,401,6.91519839436384,0.533551117987946,TRUE
"26163542300","261635423001",1,367,667,217,161,149,140,2.99885206093944,0.38320619702665,TRUE
"26163542300","261635423002",1,679,1073,361,274,280,158,4.82683573901773,0.61679380297335,FALSE
"26163543100","261635431001",1,546,1037,281,249,271,236,4.65367213820898,0.542577403133305,TRUE
"26163543100","261635431002",1,420,878,206,178,218,276,3.92330160108555,0.457422596866695,FALSE
"26163545500","261635455001",1,440,835,308,231,196,100,3.76973914367587,0.322231221830454,TRUE
"26163545500","261635455002",1,558,821,345,226,165,85,3.71170880964403,0.317270882473902,FALSE
"26163545500","261635455003",1,545,934,340,259,215,120,4.21741574542921,0.360497895695644,FALSE
"26163545900","261635459001",1,826,1282,494,348,309,131,5.78408953833253,0.50665766282953,FALSE
"26163545900","261635459002",1,811,1248,524,333,283,108,5.63207952941656,0.49334233717047,TRUE
